id_arus;id_kelurahan;tahun;nilai_arus;id_klasifikasiarus
1;1;2014;0;4
2;2;2014;0;4
3;3;2014;0;3
4;4;2014;0;3
5;5;2014;0;2
6;6;2014;0;4
7;7;2014;0;4
8;8;2014;0;1
9;9;2014;0;2
10;10;2014;0;3
11;11;2014;0;3
12;12;2014;0;3
13;13;2014;0;4
14;14;2014;0;4
15;15;2014;0;4
16;16;2014;0;4
17;17;2014;0;4
18;18;2014;0;3
19;19;2014;0;3
20;20;2014;0;3
21;21;2014;0;4
22;22;2014;0;3
23;23;2014;0;4
24;24;2014;0;3
25;25;2014;0;2
26;26;2014;0;1
27;27;2014;0;1
28;28;2014;0;1
29;29;2014;0;1
30;30;2014;0;1
31;31;2014;0;1
32;32;2014;0;1
33;33;2014;0;1
34;34;2014;0;1
35;35;2014;0;1
36;36;2014;0;1
37;37;2014;0;1
38;38;2014;0;1
39;39;2014;0;1
40;40;2014;0;1
41;41;2014;0;1
42;42;2014;0;1
43;43;2014;0;1
44;44;2014;0;1
45;45;2014;0;2
46;46;2014;0;2
47;47;2014;0;4
48;48;2014;0;4
49;49;2014;0;4
50;50;2014;0;4
51;51;2014;0;4
52;52;2014;0;4
53;53;2014;0;4
54;54;2014;0;4
55;55;2014;0;3
56;56;2014;0;4
57;57;2014;0;3
58;58;2014;0;4
59;59;2014;0;4
60;60;2014;0;4
61;61;2014;0;3
62;62;2014;0;3
63;63;2014;0;3
64;64;2014;0;4
65;65;2014;0;2
66;66;2014;0;4
67;67;2014;0;2
68;68;2014;0;2
69;69;2014;0;2
70;70;2014;1;3
71;71;2014;0;4
72;72;2014;0;3
73;73;2014;0;4
74;74;2014;0;3
75;75;2014;0;3
76;76;2014;0;3
77;77;2014;0;3
78;78;2014;0;3
79;79;2014;0;4
80;80;2014;0;2
81;81;2014;0;2
82;82;2014;0;3
83;83;2014;0;3
84;84;2014;0;3
85;85;2014;0;1
86;86;2014;0;1
87;87;2014;0;1
88;88;2014;0;1
89;89;2014;0;1
90;90;2014;0;1
91;91;2014;0;1
92;92;2014;0;1
93;93;2014;0;1
94;94;2014;0;1
95;95;2014;0;1
96;96;2014;0;1
97;97;2014;0;2
98;98;2014;0;2
99;99;2014;0;1
100;100;2014;0;2
101;101;2014;0;2
102;102;2014;0;2
103;103;2014;0;1
104;104;2014;0;3
105;105;2014;0;2
106;106;2014;0;1
107;107;2014;0;3
108;108;2014;0;3
109;109;2014;0;2
110;110;2014;0;1
111;111;2014;0;2
112;112;2014;0;2
113;113;2014;0;1
114;114;2014;0;2
115;115;2014;0;2
116;116;2014;0;2
117;117;2014;0;2
118;118;2014;0;1
119;119;2014;0;1
120;120;2014;0;1
121;121;2014;0;1
122;122;2014;0;1
123;123;2014;0;1
124;124;2014;0;1
125;125;2014;0;1
126;126;2014;0;1
127;127;2014;0;1
128;128;2014;0;1
129;129;2014;0;1
130;130;2014;0;1
131;131;2014;0;1
132;132;2014;0;1
133;133;2014;0;1
134;134;2014;0;1
135;135;2014;0;1
136;136;2014;0;1
137;137;2014;0;1
138;138;2014;0;1
139;139;2014;0;1
140;140;2014;0;1
141;141;2014;0;1
142;142;2014;0;4
143;143;2014;0;4
144;144;2014;0;2
145;145;2014;0;3
146;146;2014;0;3
147;147;2014;0;3
148;148;2014;0;3
149;149;2014;0;4
150;150;2014;0;2
151;151;2014;0;2
152;152;2014;0;3
153;153;2014;0;4
154;154;2014;0;2
155;155;2014;0;2
156;156;2014;0;1
157;157;2014;0;1
158;158;2014;0;1
159;159;2014;0;2
160;160;2014;0;2
161;161;2014;0;1
162;162;2014;0;1
163;163;2014;0;1
164;164;2014;0;1
165;165;2014;0;1
166;166;2014;0;1
167;167;2014;0;1
168;168;2014;0;1
169;169;2014;0;1
170;170;2014;0;1
171;171;2014;0;1
172;172;2014;0;1
173;173;2014;0;1
174;174;2014;0;2
175;175;2014;0;1
176;176;2014;0;1
177;177;2014;500;6
